,Departure,Price
0,2022-01-17,"329,00 Dkr"
1,2022-01-21,"296,10 Dkr"
2,2022-01-24,"99,00 Dkr"
3,2022-01-28,"379,00 Dkr"
4,2022-01-31,"134,25 Dkr"
5,2022-02-04,"156,00 Dkr"
6,2022-02-07,"129,07 Dkr"
7,2022-02-11,"633,64 Dkr"
8,2022-02-14,"149,07 Dkr"
9,2022-02-18,"186,00 Dkr"
10,2022-02-21,"129,00 Dkr"
11,2022-02-25,"216,00 Dkr"
12,2022-02-28,"129,00 Dkr"
13,2022-03-04,"289,07 Dkr"
14,2022-03-07,"149,07 Dkr"
15,2022-03-11,"209,07 Dkr"
16,2022-03-14,"191,15 Dkr"
17,2022-03-18,"195,68 Dkr"
18,2022-03-21,"209,07 Dkr"
19,2022-03-25,"209,07 Dkr"
20,2022-03-28,"209,07 Dkr"
21,2022-04-01,"379,07 Dkr"
22,2022-04-04,"221,15 Dkr"
23,2022-04-08,"412,29 Dkr"
24,2022-04-11,"589,07 Dkr"
25,2022-04-15,"259,24 Dkr"
26,2022-04-18,"239,07 Dkr"
27,2022-04-22,"239,07 Dkr"
28,2022-04-25,"209,24 Dkr"
29,2022-04-29,"379,07 Dkr"
30,2022-05-02,"289,07 Dkr"
31,2022-05-06,"329,07 Dkr"
32,2022-05-09,"289,07 Dkr"
33,2022-05-13,"416,20 Dkr"
34,2022-05-16,"239,07 Dkr"
