,Departure,Price
0,2021-10-30,"2.884,16 Dkr"
1,2021-10-31,"409,07 Dkr"
2,2021-11-02,"745,43 Dkr"
3,2021-11-04,"664,80 Dkr"
4,2021-11-06,"319,24 Dkr"
5,2021-11-07,"326,68 Dkr"
6,2021-11-09,"865,96 Dkr"
7,2021-11-11,"758,00 Dkr"
8,2021-11-13,"349,07 Dkr"
9,2021-11-14,"799,07 Dkr"
10,2021-11-16,"314,10 Dkr"
11,2021-11-18,"446,20 Dkr"
12,2021-11-21,"286,68 Dkr"
13,2021-11-23,"386,20 Dkr"
14,2021-11-25,"758,52 Dkr"
15,2021-11-27,"219,07 Dkr"
16,2021-11-28,"573,64 Dkr"
17,2021-11-30,"219,07 Dkr"
18,2021-12-02,"311,80 Dkr"
19,2021-12-04,"179,07 Dkr"
20,2021-12-05,"446,68 Dkr"
21,2021-12-07,"719,80 Dkr"
22,2021-12-11,"865,96 Dkr"
23,2021-12-12,"1.000,84 Dkr"
24,2021-12-14,"699,07 Dkr"
25,2021-12-16,"919,07 Dkr"
26,2021-12-18,"1.308,28 Dkr"
27,2021-12-19,"1.144,56 Dkr"
28,2021-12-21,"1.399,00 Dkr"
29,2021-12-23,"1.839,07 Dkr"
30,2021-12-26,"1.000,84 Dkr"
31,2021-12-28,"1.503,16 Dkr"
32,2021-12-30,"865,96 Dkr"
33,2022-01-01,"469,00 Dkr"
34,2022-01-02,"699,07 Dkr"
35,2022-01-04,"699,00 Dkr"
36,2022-01-06,"469,00 Dkr"
37,2022-01-08,"609,00 Dkr"
38,2022-01-09,"349,00 Dkr"
39,2022-01-11,"269,00 Dkr"
40,2022-01-13,"269,00 Dkr"
41,2022-01-15,"269,00 Dkr"
42,2022-01-16,"609,00 Dkr"
43,2022-01-18,"269,07 Dkr"
44,2022-01-20,"269,00 Dkr"
45,2022-01-22,"269,07 Dkr"
46,2022-01-25,"269,00 Dkr"
47,2022-01-27,"269,00 Dkr"
48,2022-01-29,"269,00 Dkr"
49,2022-01-30,"349,00 Dkr"
50,2022-02-01,"269,00 Dkr"
51,2022-02-03,"269,07 Dkr"
52,2022-02-05,"269,00 Dkr"
53,2022-02-08,"269,00 Dkr"
54,2022-02-10,"386,20 Dkr"
55,2022-02-12,"386,20 Dkr"
56,2022-02-13,"349,07 Dkr"
57,2022-02-15,"269,00 Dkr"
58,2022-02-17,"269,00 Dkr"
59,2022-02-19,"269,00 Dkr"
60,2022-02-20,"409,00 Dkr"
61,2022-02-22,"269,00 Dkr"
62,2022-02-26,"269,00 Dkr"
63,2022-02-27,"609,00 Dkr"
