,Departure,Price
0,2021-11-17,"339,07 Dkr"
1,2021-11-18,"231,15 Dkr"
2,2021-11-19,"159,07 Dkr"
3,2021-11-20,"129,07 Dkr"
4,2021-11-21,"389,07 Dkr"
5,2021-11-22,"225,20 Dkr"
6,2021-11-23,"219,07 Dkr"
7,2021-11-24,"129,00 Dkr"
8,2021-11-25,"270,31 Dkr"
9,2021-11-26,"177,10 Dkr"
10,2021-11-27,"129,00 Dkr"
11,2021-11-28,"529,07 Dkr"
12,2021-11-29,"205,69 Dkr"
13,2021-11-30,"106,53 Dkr"
14,2021-12-01,"129,07 Dkr"
15,2021-12-02,"159,07 Dkr"
16,2021-12-03,"159,07 Dkr"
17,2021-12-04,"129,00 Dkr"
18,2021-12-05,"249,07 Dkr"
19,2021-12-06,"583,30 Dkr"
20,2021-12-07,"278,75 Dkr"
21,2021-12-08,"180,08 Dkr"
22,2021-12-09,"152,38 Dkr"
23,2021-12-10,"147,85 Dkr"
24,2021-12-11,"203,87 Dkr"
25,2021-12-12,"503,62 Dkr"
26,2021-12-13,"529,07 Dkr"
27,2021-12-14,"426,18 Dkr"
28,2021-12-15,"203,87 Dkr"
29,2021-12-16,"389,00 Dkr"
30,2021-12-17,"1.289,00 Dkr"
31,2021-12-18,"678,49 Dkr"
32,2021-12-19,"959,00 Dkr"
33,2021-12-20,"619,07 Dkr"
34,2021-12-21,"959,00 Dkr"
35,2021-12-22,"959,07 Dkr"
36,2021-12-23,"1.289,00 Dkr"
37,2021-12-26,"959,07 Dkr"
38,2021-12-27,"459,07 Dkr"
39,2021-12-28,"619,00 Dkr"
40,2021-12-29,"619,00 Dkr"
41,2021-12-30,"339,00 Dkr"
42,2021-12-31,"339,00 Dkr"
43,2022-01-01,"619,00 Dkr"
44,2022-01-02,"1.044,52 Dkr"
45,2022-01-03,"619,07 Dkr"
46,2022-01-04,"584,77 Dkr"
47,2022-01-05,"249,07 Dkr"
48,2022-01-06,"219,00 Dkr"
49,2022-01-07,"219,00 Dkr"
50,2022-01-08,"219,07 Dkr"
51,2022-01-09,"249,07 Dkr"
52,2022-01-10,"170,10 Dkr"
53,2022-01-11,"109,00 Dkr"
54,2022-01-12,"109,00 Dkr"
55,2022-01-13,"219,07 Dkr"
56,2022-01-14,"109,07 Dkr"
57,2022-01-15,"109,07 Dkr"
58,2022-01-16,"109,07 Dkr"
59,2022-01-17,"109,07 Dkr"
60,2022-01-18,"109,07 Dkr"
61,2022-01-19,"143,10 Dkr"
62,2022-01-20,"109,00 Dkr"
63,2022-01-21,"109,07 Dkr"
64,2022-01-22,"109,07 Dkr"
65,2022-01-23,"278,75 Dkr"
66,2022-01-24,"109,00 Dkr"
67,2022-01-25,"109,07 Dkr"
68,2022-01-26,"109,00 Dkr"
69,2022-01-27,"109,00 Dkr"
70,2022-01-28,"109,00 Dkr"
71,2022-01-29,"109,00 Dkr"
72,2022-01-30,"299,07 Dkr"
73,2022-01-31,"219,07 Dkr"
74,2022-02-01,"149,07 Dkr"
75,2022-02-02,"149,00 Dkr"
76,2022-02-03,"149,07 Dkr"
77,2022-02-04,"219,00 Dkr"
78,2022-02-05,"249,00 Dkr"
79,2022-02-06,"426,18 Dkr"
80,2022-02-07,"249,07 Dkr"
81,2022-02-08,"149,00 Dkr"
82,2022-02-09,"149,00 Dkr"
83,2022-02-10,"149,07 Dkr"
84,2022-02-11,"219,00 Dkr"
85,2022-02-12,"249,07 Dkr"
86,2022-02-13,"299,07 Dkr"
87,2022-02-14,"249,07 Dkr"
88,2022-02-15,"149,00 Dkr"
89,2022-02-16,"149,00 Dkr"
90,2022-02-17,"219,00 Dkr"
91,2022-02-18,"249,07 Dkr"
92,2022-02-19,"299,07 Dkr"
93,2022-02-20,"299,07 Dkr"
94,2022-02-21,"249,00 Dkr"
95,2022-02-22,"149,00 Dkr"
96,2022-02-23,"149,00 Dkr"
97,2022-02-24,"278,75 Dkr"
98,2022-02-25,"339,07 Dkr"
99,2022-02-27,"459,07 Dkr"
100,2022-02-28,"459,00 Dkr"
101,2022-03-01,"149,00 Dkr"
102,2022-03-02,"149,00 Dkr"
103,2022-03-03,"219,00 Dkr"
104,2022-03-04,"219,00 Dkr"
105,2022-03-05,"249,00 Dkr"
106,2022-03-06,"299,00 Dkr"
107,2022-03-07,"249,07 Dkr"
108,2022-03-08,"149,00 Dkr"
109,2022-03-09,"149,07 Dkr"
110,2022-03-10,"219,00 Dkr"
111,2022-03-11,"219,00 Dkr"
112,2022-03-12,"299,07 Dkr"
113,2022-03-13,"339,07 Dkr"
114,2022-03-14,"299,07 Dkr"
115,2022-03-15,"389,00 Dkr"
116,2022-03-16,"299,07 Dkr"
117,2022-03-17,"389,00 Dkr"
