,Departure,Price
0,2022-01-06,"383,00 Dkr"
1,2022-01-07,"79,00 Dkr"
2,2022-01-08,"79,00 Dkr"
3,2022-01-09,"79,00 Dkr"
4,2022-01-10,"177,00 Dkr"
5,2022-01-12,"79,00 Dkr"
6,2022-01-14,"79,07 Dkr"
7,2022-01-16,"79,00 Dkr"
8,2022-01-17,"166,00 Dkr"
9,2022-01-19,"79,00 Dkr"
10,2022-01-21,"152,38 Dkr"
11,2022-01-23,"189,07 Dkr"
12,2022-01-24,"159,07 Dkr"
13,2022-01-26,"79,00 Dkr"
14,2022-01-28,"79,00 Dkr"
15,2022-01-30,"79,00 Dkr"
16,2022-01-31,"79,07 Dkr"
17,2022-02-01,"149,00 Dkr"
18,2022-02-02,"149,00 Dkr"
19,2022-02-03,"149,00 Dkr"
20,2022-02-04,"149,00 Dkr"
21,2022-02-05,"149,00 Dkr"
22,2022-02-06,"299,07 Dkr"
23,2022-02-07,"219,07 Dkr"
24,2022-02-08,"149,07 Dkr"
25,2022-02-09,"149,00 Dkr"
26,2022-02-10,"149,07 Dkr"
27,2022-02-11,"150,08 Dkr"
28,2022-02-12,"159,07 Dkr"
29,2022-02-13,"332,46 Dkr"
30,2022-02-14,"278,74 Dkr"
31,2022-02-15,"149,07 Dkr"
32,2022-02-16,"149,00 Dkr"
33,2022-02-17,"149,07 Dkr"
34,2022-02-18,"159,07 Dkr"
35,2022-02-19,"201,15 Dkr"
36,2022-02-20,"219,07 Dkr"
37,2022-02-21,"159,07 Dkr"
38,2022-02-22,"149,00 Dkr"
39,2022-02-23,"149,07 Dkr"
40,2022-02-24,"249,07 Dkr"
41,2022-02-25,"249,07 Dkr"
42,2022-02-26,"299,07 Dkr"
43,2022-02-27,"59,24 Dkr"
44,2022-02-28,"299,07 Dkr"
45,2022-03-01,"149,00 Dkr"
46,2022-03-02,"149,00 Dkr"
47,2022-03-03,"185,54 Dkr"
48,2022-03-04,"219,07 Dkr"
49,2022-03-05,"231,15 Dkr"
50,2022-03-06,"299,07 Dkr"
51,2022-03-07,"249,07 Dkr"
52,2022-03-08,"149,07 Dkr"
53,2022-03-09,"149,00 Dkr"
54,2022-03-10,"219,07 Dkr"
55,2022-03-11,"249,07 Dkr"
56,2022-03-12,"339,07 Dkr"
57,2022-03-13,"339,07 Dkr"
58,2022-03-14,"339,07 Dkr"
59,2022-03-15,"351,82 Dkr"
60,2022-03-16,"339,07 Dkr"
61,2022-03-17,"366,69 Dkr"
62,2022-03-18,"359,26 Dkr"
63,2022-03-19,"359,26 Dkr"
64,2022-03-20,"678,48 Dkr"
65,2022-03-21,"299,07 Dkr"
66,2022-03-22,"149,00 Dkr"
67,2022-03-23,"149,00 Dkr"
68,2022-03-24,"196,69 Dkr"
69,2022-03-25,"265,54 Dkr"
70,2022-03-26,"225,21 Dkr"
71,2022-03-27,"503,61 Dkr"
72,2022-03-28,"459,07 Dkr"
73,2022-03-29,"149,07 Dkr"
74,2022-03-30,"149,00 Dkr"
75,2022-03-31,"309,26 Dkr"
76,2022-04-01,"332,46 Dkr"
77,2022-04-02,"249,07 Dkr"
78,2022-04-03,"459,07 Dkr"
79,2022-04-04,"272,23 Dkr"
80,2022-04-05,"189,07 Dkr"
81,2022-04-06,"174,13 Dkr"
82,2022-04-07,"389,07 Dkr"
83,2022-04-08,"423,31 Dkr"
84,2022-04-09,"584,77 Dkr"
85,2022-04-10,"571,41 Dkr"
86,2022-04-11,"389,07 Dkr"
87,2022-04-12,"309,26 Dkr"
88,2022-04-13,"426,18 Dkr"
89,2022-04-14,"678,48 Dkr"
90,2022-04-15,"503,61 Dkr"
91,2022-04-16,"426,18 Dkr"
92,2022-04-17,"503,61 Dkr"
93,2022-04-18,"678,48 Dkr"
94,2022-04-19,"389,07 Dkr"
95,2022-04-20,"332,46 Dkr"
96,2022-04-21,"389,07 Dkr"
97,2022-04-22,"426,18 Dkr"
98,2022-04-23,"503,61 Dkr"
99,2022-04-24,"893,36 Dkr"
100,2022-04-25,"584,77 Dkr"
101,2022-04-26,"359,26 Dkr"
102,2022-04-27,"249,07 Dkr"
103,2022-04-28,"389,07 Dkr"
104,2022-04-29,"283,23 Dkr"
105,2022-04-30,"351,82 Dkr"
106,2022-05-01,"503,61 Dkr"
107,2022-05-02,"503,61 Dkr"
108,2022-05-03,"219,07 Dkr"
109,2022-05-04,"224,10 Dkr"
110,2022-05-05,"316,69 Dkr"
111,2022-05-06,"272,23 Dkr"
