,Departure,Price
0,2021-11-16,"251,31 Dkr"
1,2021-11-20,"99,00 Dkr"
2,2021-11-23,"99,00 Dkr"
3,2021-11-27,"189,07 Dkr"
4,2021-11-30,"1.325,69 Dkr"
5,2021-12-04,"396,19 Dkr"
6,2021-12-07,"446,19 Dkr"
7,2021-12-11,"446,19 Dkr"
8,2021-12-14,"768,50 Dkr"
9,2021-12-18,"1.748,00 Dkr"
10,2021-12-21,"1.629,07 Dkr"
11,2021-12-22,"674,78 Dkr"
12,2021-12-28,"1.168,25 Dkr"
13,2022-01-01,"469,07 Dkr"
14,2022-01-04,"359,00 Dkr"
15,2022-01-08,"79,00 Dkr"
16,2022-01-11,"79,00 Dkr"
17,2022-01-15,"79,00 Dkr"
18,2022-01-18,"229,07 Dkr"
19,2022-01-22,"309,07 Dkr"
20,2022-01-25,"309,07 Dkr"
21,2022-01-29,"359,00 Dkr"
22,2022-02-01,"269,00 Dkr"
23,2022-02-05,"269,00 Dkr"
24,2022-02-08,"309,00 Dkr"
25,2022-02-12,"309,07 Dkr"
26,2022-02-15,"409,07 Dkr"
27,2022-02-19,"359,00 Dkr"
28,2022-02-22,"269,00 Dkr"
29,2022-02-26,"269,00 Dkr"
30,2022-03-01,"809,07 Dkr"
31,2022-03-05,"409,00 Dkr"
32,2022-03-08,"409,00 Dkr"
33,2022-03-12,"409,00 Dkr"
