,Departure,Price
0,2022-01-14,"79,00 Dkr"
1,2022-01-17,"79,00 Dkr"
2,2022-01-21,"79,00 Dkr"
3,2022-01-24,"79,00 Dkr"
4,2022-01-28,"79,00 Dkr"
5,2022-01-31,"79,00 Dkr"
6,2022-02-04,"109,00 Dkr"
7,2022-02-07,"229,07 Dkr"
8,2022-02-11,"206,00 Dkr"
9,2022-02-14,"319,07 Dkr"
10,2022-02-18,"136,00 Dkr"
11,2022-02-21,"149,07 Dkr"
12,2022-02-25,"109,00 Dkr"
13,2022-02-28,"109,07 Dkr"
14,2022-03-04,"149,07 Dkr"
15,2022-03-07,"109,00 Dkr"
16,2022-03-11,"109,07 Dkr"
17,2022-03-14,"109,07 Dkr"
18,2022-03-18,"109,07 Dkr"
19,2022-03-21,"109,07 Dkr"
20,2022-03-25,"109,07 Dkr"
21,2022-03-28,"199,07 Dkr"
22,2022-04-01,"406,27 Dkr"
23,2022-04-04,"414,45 Dkr"
24,2022-04-08,"519,07 Dkr"
25,2022-04-11,"357,17 Dkr"
26,2022-04-15,"377,62 Dkr"
27,2022-04-18,"439,07 Dkr"
28,2022-04-22,"406,27 Dkr"
29,2022-04-25,"406,27 Dkr"
30,2022-04-29,"406,27 Dkr"
31,2022-05-02,"439,07 Dkr"
32,2022-05-06,"406,27 Dkr"
33,2022-05-09,"439,07 Dkr"
